_id,age,draf,height,nation,number,player,position,pre_draf_team,team,weight,yos
5bfa2d1cdc6f74efb340a08a,25,2013 Rnd 2 Pick 2,6-6,Spain,8,Alex Abrines,GF,FC Barcelona Lassa (Spain),Oklahoma City Thunder,190,2
5bfa2d1cdc6f74efb340a08b,23,"2018 NBA Draft, Undrafted",6-2,United States,10,Jaylen Adams,PG,St. Bonaventure,Atlanta Hawks,190,0
5bfa2d1cdc6f74efb340a08c,25,2013 Rnd 1 Pick 12,7-0,New Zealand,12,Steven Adams,C,Pittsburgh,Oklahoma City Thunder,265,5
5bfa2d1cdc6f74efb340a08d,21,2017 Rnd 1 Pick 14,6-10,United States,13,Bam Adebayo,C,Kentucky,Miami Heat,255,1
5bfa2d1cdc6f74efb340a08e,26,"2016 NBA Draft, Undrafted",6-5,United States,23,DeVaughn Akoon-Purcell,GF,Illinois State,Denver Nuggets,200,0
5bfa2d1cdc6f74efb340a08f,33,2006 Rnd 1 Pick 2,6-11,United States,12,LaMarcus Aldridge,FC,Texas,San Antonio Spurs,260,12
5bfa2d1cdc6f74efb340a090,21,"2018 NBA Draft, Undrafted",6-5,United States,20,Rawle Alkins,SG,Arizona,Chicago Bulls,225,0
5bfa2d1cdc6f74efb340a091,23,2018 Rnd 1 Pick 21,6-5,United States,24,Grayson Allen,SG,Duke,Utah Jazz,198,0
5bfa2d1cdc6f74efb340a092,20,2017 Rnd 1 Pick 22,6-11,United States,31,Jarrett Allen,C,Texas,Brooklyn Nets,237,1
5bfa2d1cdc6f74efb340a093,28,2010 Rnd 1 Pick 8,6-9,United StatesNigeria,8,Al-Farouq Aminu,F,Wake Forest,Portland Trail Blazers,220,8
5bfa2d1cdc6f74efb340a094,25,2015 Rnd 1 Pick 21,6-6,United States,1,Justin Anderson,F,Virginia,Atlanta Hawks,230,3
5bfa2d1cdc6f74efb340a095,25,2014 Rnd 1 Pick 30,6-9,United States,1,Kyle Anderson,PF,UCLA,Memphis Grizzlies,230,4
5bfa2d1cdc6f74efb340a096,30,2008 Rnd 1 Pick 21,6-10,United States,15,Ryan Anderson,PF,California,Phoenix Suns,240,10
5bfa2d1cdc6f74efb340a097,20,2017 Rnd 2 Pick 17,6-10,United States,13,Ike Anigbogu,C,UCLA,Indiana Pacers,250,1
5bfa2d1cdc6f74efb340a098,23,2013 Rnd 1 Pick 15,6-11,GreeceNigeria,34,Giannis Antetokounmpo,F,Filathlitikos Div II Greece (Greece),Milwaukee Bucks,242,5
5bfa2d1cdc6f74efb340a099,22,2018 Rnd 2 Pick 30,6-10,GreeceUnited States,37,Kostas Antetokounmpo,PF,Dayton,Dallas Mavericks,197,0
5bfa2d1cdc6f74efb340a09a,34,2003 Rnd 1 Pick 3,6-8,United States,7,Carmelo Anthony,F,Syracuse,Houston Rockets,240,15
5bfa2d1cdc6f74efb340a09b,21,2017 Rnd 1 Pick 23,6-8,EnglandUnited States,3,Ogugua Anunoby,SF,Indiana,Toronto Raptors,232,1
5bfa2d1cdc6f74efb340a09c,24,"2016 NBA Draft, Undrafted",6-3,United States,51,Ryan Arcidiacono,G,Villanova,Chicago Bulls,200,1
5bfa2d1cdc6f74efb340a09d,33,2004 Rnd 2 Pick 14,6-8,United States,3,Trevor Ariza,SF,UCLA,Phoenix Suns,215,14
5bfa2d1cdc6f74efb340a09e,31,2008 Rnd 1 Pick 9,6-0,United States,14,D.J. Augustin,G,Texas,Orlando Magic,183,10
